uf;cod;municipio;qtd_2004;vlr_2004;qtd_2005;vlr_2005;qtd_2006;vlr_2006;qtd_2007;vlr_2007;qtd_2008;vlr_2008;qtd_2009;vlr_2009;qtd_2010;vlr_2010
MG;310640;BELO VALE;379;205353;530;298551;674;392978.00;625;437121;559;472222.00;599;542363.00;636;619788.00
PA;150145;BELTERRA;737;450836;742;555470;1933;1111293.00;1949;1776958;1748;2021690.00;2031;2425749.00;1887;2554256.00
PI;220160;BENEDITINOS;1144;580326;1305;989220;1401;1132627.00;1474;1311958;1443;1549684.00;1684;1784003.00;1621;1996707.00
MA;210180;BENEDITO LEITE;369;164660;492;339705;707;538211.00;798;679939;766;823234.00;865;954604.00;912;1135347.00
SC;420220;BENEDITO NOVO;152;55224;195;85938;170;88136.00;141;92606;111;91376.00;149;111769.00;121;110907.00
PA;150150;BENEVIDES;2044;1557950;2130;1776496;2980;2275961.00;3102;2728333;2949;3103204.00;3453;3680525.00;4816;4799758.00
AM;130060;BENJAMIN CONSTANT;941;614604;1703;1110975;2406;1948874.00;2807;2731310;2731;3383314.00;3088;3928337.00;3324;4748519.00
RS;430205;BENJAMIN CONSTANT DO SUL;59;12366;143;78426;202;142612.00;215;186993;194;229680.00;251;272024.00;244;305968.00
SP;350620;BENTO DE ABREU;74;26243;88;44805;36;47727.00;75;39648;54;38820.00;83;51634.00;97;65441.00
RN;240160;BENTO FERNANDES;631;508692;724;553021;743;589510.00;784;685437;782;849970.00;758;901022.00;811;1001134.00
RS;430210;BENTO GONÇALVES;1153;638668;1488;855765;1331;811584.00;1084;688611;761;624812.00;839;615552.00;1032;775475.00
MA;210190;BEQUIMÃO;1784;1357988;2711;1778094;3022;2264171.00;3097;2675661;3181;3303626.00;3403;3740142.00;3547;3926399.00
MG;310650;BERILO;1025;585658;1131;892969;1277;1052457.00;1243;1141748;1135;1284933.00;1309;1452947.00;1420;1717073.00
MG;310665;BERIZAL;335;238275;474;317957;534;392017.00;538;458414;512;518620.00;563;548391.00;580;670102.00
PB;250205;BERNARDINO BATISTA;342;220574;331;302935;407;339433.00;411;376630;404;451488.00;481;527479.00;538;658261.00
